TIME,APPLS_CUR_CONS,APPLS_IN_DB2
2017-12-12 01:00:02,124,2
2017-12-12 01:10:02,123,1
2017-12-12 01:20:02,124,1
2017-12-12 01:30:02,124,2
2017-12-12 01:40:02,123,2
2017-12-12 01:50:02,124,4
2017-12-12 02:00:02,127,4
2017-12-12 02:10:01,123,2
2017-12-12 02:20:01,123,2
2017-12-12 02:30:02,124,3
2017-12-12 02:40:02,125,3
2017-12-12 02:50:01,125,1
2017-12-12 03:00:01,124,1
2017-12-12 03:10:02,125,1
2017-12-12 03:20:02,124,1
2017-12-12 03:30:02,124,1
2017-12-12 03:40:02,125,2
2017-12-12 03:50:01,123,2
2017-12-12 04:00:01,122,1
2017-12-12 04:10:02,124,2
2017-12-12 04:20:03,123,1
2017-12-12 04:30:01,124,3
2017-12-12 04:40:01,124,1
2017-12-12 04:50:02,123,1
2017-12-12 05:00:01,126,2
2017-12-12 05:10:01,122,1
2017-12-12 05:20:01,122,1
2017-12-12 05:30:01,122,1
2017-12-12 05:40:02,122,1
2017-12-12 05:50:02,122,1
2017-12-12 06:00:02,123,2
2017-12-12 06:10:01,124,1
2017-12-12 06:20:01,124,1
2017-12-12 06:30:01,124,2
2017-12-12 06:40:02,123,2
2017-12-12 06:50:02,123,1
2017-12-12 07:00:02,123,2
2017-12-12 07:10:02,123,2
2017-12-12 07:20:02,124,2
2017-12-12 07:30:02,123,1
2017-12-12 07:40:02,123,1
2017-12-12 07:50:02,122,1
2017-12-12 08:00:01,127,4
2017-12-12 08:10:02,122,1
2017-12-12 08:20:02,124,1
2017-12-12 08:30:01,124,6
2017-12-12 08:40:02,122,3
2017-12-12 08:50:02,122,2
2017-12-12 09:00:02,126,6
2017-12-12 09:10:02,136,8
2017-12-12 09:20:02,142,6
2017-12-12 09:30:02,150,11
2017-12-12 09:40:02,165,5
2017-12-12 09:50:02,169,11
2017-12-12 10:00:02,170,14
2017-12-12 10:10:01,214,18
2017-12-12 10:20:01,208,16
2017-12-12 10:30:02,218,16
2017-12-12 10:40:02,217,11
2017-12-12 10:50:02,215,11
2017-12-12 11:00:02,214,14
2017-12-12 11:10:02,199,14
2017-12-12 11:20:02,173,15
2017-12-12 11:30:01,183,17
2017-12-12 11:40:01,180,10
2017-12-12 11:50:01,187,16
2017-12-12 12:00:01,188,12
2017-12-12 12:10:02,173,6
2017-12-12 12:20:02,156,6
2017-12-12 12:30:02,159,6
2017-12-12 12:40:02,156,8
2017-12-12 12:50:01,155,5
2017-12-12 13:00:02,156,9
2017-12-12 13:10:02,157,10
2017-12-12 13:20:01,156,6
2017-12-12 13:30:01,163,17
2017-12-12 13:40:01,182,20
2017-12-12 13:50:01,224,17
2017-12-12 14:00:01,220,36
2017-12-12 14:10:01,219,21
2017-12-12 14:20:01,237,16
2017-12-12 14:30:01,248,11
2017-12-12 14:40:02,278,13
2017-12-12 14:50:02,279,16
2017-12-12 15:00:02,278,16
2017-12-12 15:10:02,217,13
2017-12-12 15:20:02,187,13
2017-12-12 15:30:02,194,17
2017-12-12 15:40:02,193,21
2017-12-12 15:50:02,194,13
2017-12-12 16:00:02,192,16
2017-12-12 16:10:02,217,10
2017-12-12 16:20:02,183,9
2017-12-12 16:30:01,193,18
2017-12-12 16:40:01,191,11
2017-12-12 16:50:01,197,11
2017-12-12 17:00:01,197,24
2017-12-12 17:10:01,223,21
2017-12-12 17:20:01,207,16
2017-12-12 17:30:01,205,19
2017-12-12 17:40:01,207,13
2017-12-12 17:50:01,209,13
2017-12-12 18:00:02,216,9
2017-12-12 18:10:02,246,14
2017-12-12 18:20:02,211,8
2017-12-12 18:30:02,209,6
2017-12-12 18:40:02,189,5
2017-12-12 18:50:02,158,3
2017-12-12 19:00:02,170,4
2017-12-12 19:10:02,151,5
2017-12-12 19:20:02,152,5
2017-12-12 19:30:02,143,2
2017-12-12 19:40:02,143,3
2017-12-12 19:50:02,121,4
2017-12-12 20:00:02,116,3
2017-12-12 20:10:02,128,2
2017-12-12 20:20:02,129,3
2017-12-12 20:30:02,132,3
2017-12-12 20:40:01,132,5
2017-12-12 20:50:01,126,2
2017-12-12 21:00:02,131,4
2017-12-12 21:10:02,128,2
2017-12-12 21:20:02,129,1
2017-12-12 21:30:02,127,3
2017-12-12 21:40:02,128,1
2017-12-12 21:50:01,122,4
2017-12-12 22:00:01,129,2
2017-12-12 22:10:02,127,1
2017-12-12 22:20:02,127,3
2017-12-12 22:30:02,125,2
